Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,
Breaking Bad,2008,18+,9.5,96%,1,0,0,0,1,
Stranger Things,2016,16+,8.8,93%,1,0,0,0,1,
Money Heist,2017,18+,8.4,91%,1,0,0,0,1,
Sherlock,2010,16+,9.1,78%,1,0,0,0,1,
Better Call Saul,2015,18+,8.7,97%,1,0,0,0,1,
The Office,2005,16+,8.9,81%,1,0,0,0,1,
Black Mirror,2011,18+,8.8,83%,1,0,0,0,1,
Supernatural,2005,16+,8.4,93%,1,0,0,0,1,
Peaky Blinders,2013,18+,8.8,92%,1,0,0,0,1,
Avatar: The Last Airbender,2005,7+,9.2,100%,1,0,0,0,1,
The Walking Dead,2010,18+,8.2,81%,1,0,0,0,1,
Dark,2017,16+,8.7,94%,1,0,0,0,1,
Ozark,2017,18+,8.4,81%,1,0,0,0,1,
Attack on Titan,2013,16+,8.8,94%,1,1,0,0,1,
Narcos,2015,18+,8.8,89%,1,0,0,0,1,
Fullmetal Alchemist: Brotherhood,2009,18+,9.1,100%,1,1,0,0,1,
Community,2009,7+,8.5,88%,1,1,0,0,1,
Mindhunter,2017,18+,8.6,96%,1,0,0,0,1,
Parks and Recreation,2009,16+,8.6,93%,1,1,1,0,1,
Dexter,2006,18+,8.6,72%,1,0,0,0,1,
Marvel's Daredevil,2015,18+,8.6,92%,1,0,0,0,1,
The Witcher,2019,18+,8.3,67%,1,0,0,0,1,
Twin Peaks,1990,18+,8.8,89%,1,1,0,0,1,
One-Punch Man,2015,16+,8.8,100%,1,1,0,0,1,
Outlander,2014,18+,8.4,91%,1,0,0,0,1,
House of Cards,2013,18+,8.7,78%,1,0,0,0,1,
Shameless,2011,18+,8.6,85%,1,0,0,0,1,
The Good Place,2016,16+,8.2,97%,1,1,0,0,1,
The Haunting,2018,18+,8.7,93%,1,0,0,0,1,
The Blacklist,2013,16+,8,91%,1,0,0,0,1,
The Flash,2014,7+,7.7,89%,1,0,0,0,1,
The Last Kingdom,2015,18+,8.4,91%,1,0,0,0,1,
Mad Men,2007,16+,8.6,94%,1,0,0,0,1,
Lucifer,2016,16+,8.2,87%,1,0,0,0,1,
Orange Is the New Black,2013,18+,8.1,90%,1,0,0,0,1,
Grey's Anatomy,2005,16+,7.6,83%,1,1,0,0,1,
The End of the F***ing World,2017,18+,8.1,93%,1,0,0,0,1,
Arrested Development,2003,16+,8.7,75%,1,1,0,0,1,
The Vampire Diaries,2009,7+,7.7,85%,1,0,0,0,1,
The Crown,2016,18+,8.7,89%,1,0,0,0,1,
The 100,2014,16+,7.7,92%,1,0,0,0,1,
When They See Us,2019,18+,8.9,96%,1,0,0,0,1,
How to Get Away with Murder,2014,16+,8.1,88%,1,1,0,0,1,
After Life,2019,18+,8.5,70%,1,0,0,0,1,
Elite,2018,18+,7.6,97%,1,0,0,0,1,
BoJack Horseman,2014,18+,8.7,93%,1,0,0,0,1,
Never Have I Ever,2020,16+,8,97%,1,0,0,0,1,
Penny Dreadful,2014,18+,8.2,91%,1,0,0,0,1,
Marvel's Agents of S.H.I.E.L.D.,2013,16+,7.5,94%,1,0,0,0,1,
Dead to Me,2019,18+,8.1,91%,1,0,0,0,1,
Unorthodox,2020,18+,8.1,94%,1,0,0,0,1,
Sense8,2015,18+,8.3,86%,1,0,0,0,1,
Sacred Games,2018,18+,8.7,92%,1,0,0,0,1,
American Crime Story,2016,18+,8.4,93%,1,0,0,0,1,
Family Guy,1999,18+,8.1,71%,1,1,0,0,1,
Pretty Little Liars,2010,16+,7.4,81%,1,1,0,0,1,
Unbelievable,2019,18+,8.4,97%,1,0,0,0,1,
Arrow,2012,16+,7.6,85%,1,0,0,0,1,
The IT Crowd,2006,16+,8.5,87%,1,0,0,0,1,
The Twilight Zone,1959,7+,9,82%,1,1,0,0,1,
YOU,2018,18+,7.8,91%,1,0,0,0,1,
Sex Education,2019,16+,8.3,94%,1,0,0,0,1,
"Tiger King: Murder, Mayhem and Madness",2020,18+,7.8,86%,1,0,0,0,1,
Star Trek: The Next Generation,1987,7+,8.6,89%,1,1,1,0,1,
Broadchurch,2013,18+,8.4,92%,1,0,0,0,1,
Kingdom,2019,18+,8.4,96%,1,0,0,0,1,
Altered Carbon,2018,18+,8.1,64%,1,0,0,0,1,
The Sinner,2017,16+,8,95%,1,0,0,0,1,
"Love, Death & Robots",2019,18+,8.5,78%,1,0,0,0,1,
Marvel's Jessica Jones,2015,18+,8,83%,1,0,0,0,1,
New Girl,2011,16+,7.7,94%,1,0,0,0,1,
The Good Wife,2009,16+,8.3,94%,1,1,1,0,1,
The Umbrella Academy,2019,16+,7.9,77%,1,0,0,0,1,
Marvel's The Punisher,2017,18+,8.5,63%,1,0,0,0,1,
Ash vs Evil Dead,2015,18+,8.4,99%,1,0,0,0,1,
Master of None,2015,18+,8.3,100%,1,0,0,0,1,
Bodyguard,2018,18+,8.1,93%,1,0,0,0,1,
Schitt's Creek,2015,16+,8.4,50%,1,0,1,0,1,
Narcos: Mexico,2018,18+,8.4,88%,1,0,0,0,1,
The West Wing,1999,16+,8.8,75%,1,0,0,0,1,
Bates Motel,2013,18+,8.2,93%,1,0,0,0,1,
Atypical,2017,18+,8.3,87%,1,0,0,0,1,
Once Upon a Time,2011,7+,7.7,80%,1,0,0,0,1,
Gomorrah,2014,18+,8.7,94%,1,0,0,0,1,
Making a Murderer,2015,16+,8.6,84%,1,0,0,0,1,
Death Note,2006,18+,9,,1,1,0,0,1,
